Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Morocco,Female,14.6,14.57045
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Morocco,Both,60.7,60.68798
Healthy life expectancy (HALE) at birth (years),2000,Europe,Republic of Moldova,Male,56.7,56.65182
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Republic of Moldova,Male,10.8,10.79038
Healthy life expectancy (HALE) at birth (years),2000,Europe,Republic of Moldova,Female,61.8,61.81631
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Republic of Moldova,Female,13.2,13.19528
Healthy life expectancy (HALE) at birth (years),2000,Europe,Republic of Moldova,Both,59.3,59.25799
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Republic of Moldova,Both,12.1,12.13781
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Madagascar,Male,11.1,11.05011
Healthy life expectancy (HALE) at birth (years),2010,Africa,Madagascar,Male,54.5,54.54875
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Madagascar,Female,12.0,12.02269
Healthy life expectancy (HALE) at birth (years),2010,Africa,Madagascar,Female,55.6,55.61774
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Madagascar,Both,11.5,11.51863
Healthy life expectancy (HALE) at birth (years),2010,Africa,Madagascar,Both,55.1,55.0767
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Maldives,Male,67.8,67.82719
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Maldives,Male,15.3,15.26852
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Maldives,Female,68.1,68.10069
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Maldives,Female,15.8,15.81601
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Maldives,Both,68.0,67.96912
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Maldives,Both,15.5,15.52372
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Maldives,Both,69.1,69.10727
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Mexico,Male,15.2,15.19916
Healthy life expectancy (HALE) at birth (years),2015,Americas,Mexico,Male,64.3,64.34279
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Mexico,Female,16.6,16.57479
Healthy life expectancy (HALE) at birth (years),2015,Americas,Mexico,Female,67.2,67.16978
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Mexico,Both,15.9,15.91623
Healthy life expectancy (HALE) at birth (years),2015,Americas,Mexico,Both,65.8,65.76259
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Mexico,Both,16.1,16.10822
Healthy life expectancy (HALE) at birth (years),2015,Europe,North Macedonia,Male,64.2,64.16281
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,North Macedonia,Male,12.8,12.81554
Healthy life expectancy (HALE) at birth (years),2015,Europe,North Macedonia,Female,66.5,66.5397
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,North Macedonia,Female,14.6,14.59424
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,North Macedonia,Both,13.7,13.72364
Healthy life expectancy (HALE) at birth (years),2019,Europe,North Macedonia,Both,66.1,66.14368
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Mali,Male,12.6,12.56367
Healthy life expectancy (HALE) at birth (years),2019,Africa,Mali,Male,54.8,54.83266
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Mali,Female,12.4,12.42237
Healthy life expectancy (HALE) at birth (years),2019,Africa,Mali,Female,54.5,54.45554
Healthy life expectancy (HALE) at birth (years),2019,Africa,Mali,Both,54.6,54.62648
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Mali,Both,12.8,12.79507
Healthy life expectancy (HALE) at birth (years),2019,Europe,Malta,Male,70.9,70.90981
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Malta,Male,18.0,18.03117
Healthy life expectancy (HALE) at birth (years),2019,Europe,Malta,Female,71.9,71.94347
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Malta,Female,19.6,19.6264
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Malta,Both,18.9,18.86299
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Myanmar,Male,51.2,51.16089
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Myanmar,Male,12.4,12.37763
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Myanmar,Female,54.7,54.73655
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Myanmar,Female,14.6,14.58056
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Myanmar,Both,52.9,52.94595
Healthy life expectancy (HALE) at birth (years),2000,Europe,Montenegro,Male,63.3,63.32007
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Montenegro,Male,13.7,13.71846
Healthy life expectancy (HALE) at birth (years),2000,Europe,Montenegro,Female,67.0,67.02802
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Montenegro,Female,16.0,15.97966
Healthy life expectancy (HALE) at birth (years),2000,Europe,Montenegro,Both,65.2,65.1679
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Montenegro,Both,14.9,14.90672
Healthy life expectancy (HALE) at birth (years),2010,Europe,Montenegro,Both,66.2,66.1688
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Mongolia,Male,9.3,9.32309
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Mongolia,Male,54.8,54.75822
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Mongolia,Female,11.4,11.41316
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Mongolia,Female,61.1,61.11138
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Mongolia,Both,57.8,57.7651
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Mongolia,Both,11.6,11.61583
Healthy life expectancy (HALE) at birth (years),2010,Africa,Mozambique,Male,44.6,44.6115
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Mozambique,Male,9.2,9.22219
Healthy life expectancy (HALE) at birth (years),2010,Africa,Mozambique,Female,48.3,48.3185
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Mozambique,Female,12.7,12.7111
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Mozambique,Both,11.1,11.07113
Healthy life expectancy (HALE) at birth (years),2015,Africa,Mozambique,Both,48.6,48.59678
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Mauritania,Male,14.3,14.26984
Healthy life expectancy (HALE) at birth (years),2015,Africa,Mauritania,Male,59.4,59.40954
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Mauritania,Female,13.6,13.6457
Healthy life expectancy (HALE) at birth (years),2015,Africa,Mauritania,Female,58.6,58.57256
Healthy life expectancy (HALE) at birth (years),2015,Africa,Mauritania,Both,58.9,58.94667
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Mauritania,Both,14.2,14.19491
Healthy life expectancy (HALE) at birth (years),2015,Africa,Mauritius,Male,62.0,62.04851
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Mauritius,Male,13.2,13.19596
Healthy life expectancy (HALE) at birth (years),2015,Africa,Mauritius,Female,66.1,66.08516
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Mauritius,Female,15.5,15.54027
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Mauritius,Both,14.4,14.42427
Healthy life expectancy (HALE) at birth (years),2019,Africa,Mauritius,Both,63.9,63.93715
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Malawi,Male,10.9,10.92255
Healthy life expectancy (HALE) at birth (years),2019,Africa,Malawi,Male,55.1,55.09368
Healthy life expectancy (HALE) at age 60 (years),2015,Africa,Malawi,Female,13.9,13.86393
Healthy life expectancy (HALE) at birth (years),2019,Africa,Malawi,Female,59.0,59.02045
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Malawi,Female,14.0,14.04248
Healthy life expectancy (HALE) at birth (years),2019,Africa,Malawi,Both,57.1,57.05909
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Malawi,Both,12.8,12.77525
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Malaysia,Male,64.5,64.50496
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Malaysia,Male,14.0,14.01627
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Malaysia,Female,15.3,15.26014
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Malaysia,Both,64.0,63.98666
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Malaysia,Both,14.6,14.62755
Healthy life expectancy (HALE) at birth (years),2000,Africa,Namibia,Male,45.2,45.24749
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Namibia,Male,10.8,10.84028
Healthy life expectancy (HALE) at birth (years),2000,Africa,Namibia,Female,47.9,47.88732
Healthy life expectancy (HALE) at birth (years),2000,Africa,Namibia,Both,46.6,46.60331
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Namibia,Both,10.8,10.77715
Healthy life expectancy (HALE) at birth (years),2000,Africa,Niger,Male,44.2,44.19699
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Niger,Male,11.8,11.80897
Healthy life expectancy (HALE) at birth (years),2000,Africa,Niger,Female,44.2,44.18628
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Niger,Female,12.2,12.16152
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Niger,Both,12.0,11.99658
Healthy life expectancy (HALE) at birth (years),2010,Africa,Niger,Both,51.9,51.85902
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Nigeria,Male,11.6,11.57092
Healthy life expectancy (HALE) at birth (years),2010,Africa,Nigeria,Male,51.0,50.95408
Healthy life expectancy (HALE) at age 60 (years),2000,Africa,Nigeria,Female,12.3,12.34755
Healthy life expectancy (HALE) at birth (years),2010,Africa,Nigeria,Female,52.1,52.08508
Healthy life expectancy (HALE) at birth (years),2010,Africa,Nigeria,Both,51.5,51.50493
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Nigeria,Both,12.8,12.84545
Healthy life expectancy (HALE) at birth (years),2010,Americas,Nicaragua,Male,63.0,63.04861
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Nicaragua,Male,13.8,13.79459
Healthy life expectancy (HALE) at birth (years),2010,Americas,Nicaragua,Female,66.3,66.31906
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Nicaragua,Female,15.9,15.89628
Healthy life expectancy (HALE) at birth (years),2015,Americas,Nicaragua,Female,66.8,66.81693
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Nicaragua,Both,14.9,14.88869
Healthy life expectancy (HALE) at birth (years),2015,Americas,Nicaragua,Both,65.2,65.16002
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Netherlands (Kingdom of the),Male,17.0,17.0222
Healthy life expectancy (HALE) at birth (years),2015,Europe,Netherlands (Kingdom of the),Male,70.9,70.87257
Healthy life expectancy (HALE) at birth (years),2015,Europe,Netherlands (Kingdom of the),Female,71.3,71.33205
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Netherlands (Kingdom of the),Female,18.8,18.78275
Healthy life expectancy (HALE) at birth (years),2015,Europe,Netherlands (Kingdom of the),Both,71.1,71.12268
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Netherlands (Kingdom of the),Both,18.1,18.11818
Healthy life expectancy (HALE) at birth (years),2015,Europe,Norway,Male,70.6,70.55037
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Norway,Male,17.4,17.4421
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Norway,Female,19.1,19.06187
Healthy life expectancy (HALE) at birth (years),2019,Europe,Norway,Female,71.6,71.63837
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Norway,Both,18.3,18.27993
Healthy life expectancy (HALE) at birth (years),2019,Europe,Norway,Both,71.4,71.36238
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,Nepal,Male,12.6,12.60769
Healthy life expectancy (HALE) at birth (years),2019,South-East Asia,Nepal,Male,60.6,60.63214
Healthy life expectancy (HALE) at birth (years),2019,South-East Asia,Nepal,Female,62.1,62.08302
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Nepal,Female,13.8,13.8093
Healthy life expectancy (HALE) at birth (years),2019,South-East Asia,Nepal,Both,61.3,61.34199
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Nepal,Both,13.3,13.25334
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,New Zealand,Male,69.6,69.64255
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,New Zealand,Male,17.9,17.90915
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,New Zealand,Female,19.2,19.16885
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,New Zealand,Both,67.8,67.80207
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,New Zealand,Both,18.6,18.55309
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Oman,Male,60.1,60.14607
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Oman,Male,12.9,12.90012
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Oman,Female,61.9,61.87691
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Oman,Female,12.3,12.32168
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Oman,Both,60.9,60.94372
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Oman,Both,11.7,11.74196
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Pakistan,Male,52.6,52.57724
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Pakistan,Male,11.4,11.40701
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Pakistan,Female,11.7,11.70911
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Pakistan,Female,54.5,54.54465
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Pakistan,Both,11.5,11.54389
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Pakistan,Both,54.5,54.48812
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Panama,Male,16.7,16.66686
Healthy life expectancy (HALE) at birth (years),2010,Americas,Panama,Male,65.9,65.9193
Healthy life expectancy (HALE) at birth (years),2010,Americas,Panama,Female,69.1,69.14711
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Panama,Female,18.6,18.61719
Healthy life expectancy (HALE) at birth (years),2010,Americas,Panama,Both,67.5,67.47428
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Panama,Both,17.6,17.5946
Healthy life expectancy (HALE) at birth (years),2010,Americas,Peru,Male,67.0,67.02232
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Peru,Male,17.3,17.25357
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Peru,Female,17.8,17.75199
Healthy life expectancy (HALE) at birth (years),2015,Americas,Peru,Female,69.2,69.21317
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Peru,Both,17.5,17.5133
Healthy life expectancy (HALE) at birth (years),2015,Americas,Peru,Both,68.8,68.84505
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Philippines,Male,12.2,12.22251
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Philippines,Male,59.9,59.93903
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Philippines,Female,64.0,64.01112
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Philippines,Female,14.8,14.76283
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Philippines,Both,61.9,61.91336
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Philippines,Both,13.5,13.47515
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Papua New Guinea,Male,55.5,55.50587
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Papua New Guinea,Male,11.6,11.56694
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Papua New Guinea,Male,56.2,56.16157
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Papua New Guinea,Female,12.7,12.72498
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Papua New Guinea,Female,58.1,58.06359
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Papua New Guinea,Both,12.2,12.15531
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Papua New Guinea,Both,57.1,57.07826
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Poland,Male,14.4,14.3885
Healthy life expectancy (HALE) at birth (years),2019,Europe,Poland,Male,65.9,65.93894
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Poland,Male,14.9,14.85718
Healthy life expectancy (HALE) at birth (years),2019,Europe,Poland,Female,71.3,71.32507
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Poland,Female,18.5,18.5194
Healthy life expectancy (HALE) at birth (years),2019,Europe,Poland,Both,68.7,68.66328
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Poland,Both,16.8,16.8408
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Democratic People's Republic of Korea,Male,13.6,13.60502
